learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.182218517,7.0540386779544254E-9,1000.0,0.9612097070574148,0.8351152024158541,0.961,0.7972003244794806,0.0,0.10253583241455347,0.9543404680293338,0.946236559139785,0.5806451612903221,1000.0,149640.0,15.0,0.9272685512933654,0.07273144870663449,1375.8666666666668,11.338878195401833,3529.6,313.01636652783145,1.4000000000000001,0.2138089935299395,1.2,0.10690449676496974,1.2,0.10690449676496974,0.19999999999999998,0.10690449676496974,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.27388736,1.06027206381162E-8,2000.0,0.9965934065934066,0.9118686701665264,0.975,0.8643516006511122,0.9612097070574148,0.0989010989010989,0.9861680751917862,1.0,0.7267759562841528,2000.0,149640.0,15.0,0.8676110981655921,0.13238890183440785,2752.0,14.299850149064985,3529.6,313.01636652783145,1.4000000000000001,0.2138089935299395,1.2,0.10690449676496974,1.2,0.10690449676496974,0.19999999999999998,0.10690449676496974,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.39468834,1.748775702594883E-8,3000.0,0.994041285379868,0.7956410398101289,0.968,0.8529317143566221,0.9965934065934066,0.12485939257592801,0.9701719935862966,0.972972972972973,0.6734693877551017,3000.0,220312.0,15.0,0.979796043932231,0.02020395606776903,4145.466666666667,19.278131372266067,8201.066666666668,465.6645785139124,4.7333333333333325,0.33046383948376135,2.8666666666666663,0.16523191974188067,2.8666666666666663,0.16523191974188067,1.8666666666666663,0.16523191974188067,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.4896279,2.4000333773634502E-8,4000.0,0.9966061812751709,0.8553589645072446,0.982,0.9050913232378621,0.994041285379868,0.10864745011086474,0.9854649806613471,0.9897959183673469,0.8163265306122447,4000.0,265160.0,15.0,0.8681123661509296,0.13188763384907035,5514.133333333332,20.514772068338257,11164.266666666665,682.958657792672,7.133333333333333,0.5679257720333551,4.066666666666666,0.28396288601667763,4.066666666666666,0.28396288601667763,2.8000000000000003,0.22253945610567472,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.580659988,3.125507298823032E-8,5000.0,0.9939298659330101,0.8563528401702127,0.971,0.8572075709530654,0.9966061812751709,0.11358574610244988,0.9751486487264259,0.9803921568627451,0.706477732793522,5000.0,308056.0,15.0,0.9295292622108716,0.07047073778912845,6905.333333333334,19.911151856534342,14001.066666666668,1044.749555164238,8.866666666666665,0.7675977782708528,4.933333333333333,0.3837988891354264,4.933333333333333,0.3837988891354264,3.3333333333333326,0.2702144944592592,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.66249195,3.8288758859986234E-8,6000.0,0.9973633947849194,0.8773450080030146,0.977,0.8866235507532139,0.9939298659330101,0.1210762331838565,0.9666739686681929,0.9537037037037037,0.7707641196013288,6000.0,332248.0,15.0,0.9064873164101453,0.09351268358985455,8290.133333333333,24.47406142305937,15601.066666666664,1216.4868365469733,9.933333333333332,0.8699571235557512,5.466666666666666,0.4349785617778756,5.466666666666666,0.4349785617778756,3.5999999999999996,0.28949874578229834,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.749108877,4.645920275496112E-8,7000.0,0.9971547632536415,0.9153149268147682,0.972,0.846145392603989,0.9973633947849194,0.09529025191675794,0.9845465316308473,1.0,0.7155297532656021,7000.0,364624.0,15.0,0.9586009489705208,0.041399051029479064,9662.666666666664,25.20008818326727,17737.066666666666,1171.8930207418646,12.066666666666666,0.9333333333333332,6.533333333333333,0.4666666666666666,6.533333333333333,0.4666666666666666,3.8666666666666667,0.32170182388675306,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.840746616,5.628327938141094E-8,8000.0,0.9954692344643871,0.8855989427260484,0.975,0.8759305210918112,0.9971547632536415,0.11358574610244988,0.9816985487920756,0.9901960784313726,0.7471554993678886,8000.0,414400.0,15.0,0.7687879943527801,0.23121200564721991,11059.666666666666,30.34949857068589,21027.733333333334,977.3195971229857,14.2,0.6414269805898185,7.6,0.32071349029490925,7.6,0.32071349029490925,4.4,0.16329931618554522,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.913406918,6.433783528371817E-8,9000.0,0.9959455187674378,0.9030666932689538,0.981,0.8811251814405123,0.9954692344643871,0.08577633007600434,0.9838928754116161,0.9873417721518988,0.8034482758620688,9000.0,428496.0,15.0,0.8835745132995879,0.11642548670041214,12424.199999999999,31.414009613546636,21959.466666666667,842.448844662402,14.866666666666667,0.5333333333333332,7.933333333333334,0.26666666666666666,7.933333333333334,0.26666666666666666,4.6000000000000005,0.13093073414159542,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.986428118,7.269490181817777E-8,10000.0,0.9970059237637363,0.9118389100317297,0.978,0.8903421325464549,0.9959455187674378,0.11607142857142858,0.9792226817427997,0.9807692307692307,0.7741273100616015,10000.0,442392.0,15.0,0.8167077878127796,0.18329221218722036,13826.333333333334,33.503754823923636,22878.399999999998,938.0458553112777,15.4,0.6531972647421809,8.200000000000001,0.32659863237109044,8.200000000000001,0.32659863237109044,4.666666666666667,0.12598815766974242,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.074618818,8.292733678508964E-8,11000.0,0.9963317175422508,0.9120998293092017,0.977,0.8849470756548011,0.9970059237637363,0.11358574610244988,0.9828211318332766,0.9901960784313726,0.7648698884758361,11000.0,448496.0,15.0,0.9927517211404641,0.007248278859535734,15210.133333333333,30.12938237899481,23280.0,952.9787685637772,16.2,0.7508725083591246,8.6,0.3754362541795623,8.6,0.3754362541795623,4.933333333333334,0.18170270503179914,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.158902315,9.350865385620338E-8,12000.0,0.9962800103015099,0.9123192776414101,0.978,0.9015192887902092,0.9963317175422508,0.13507377979568672,0.9802414698022034,0.9831932773109243,0.7790794979079496,12000.0,485288.0,15.0,0.6113330699466069,0.38866693005339303,16606.000000000004,24.70415426796154,25712.000000000004,1044.1701010850675,17.666666666666668,0.7474825474418507,9.333333333333334,0.37374127372092536,9.333333333333334,0.37374127372092536,5.533333333333334,0.16523191974188067,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.230004589,1.0288661028745068E-7,13000.0,0.9985138826385909,0.9299776579067986,0.983,0.9162115805453147,0.9962800103015099,0.11982082866741321,0.9863592257348927,0.9906542056074766,0.8302611367127495,13000.0,509832.0,15.0,0.9594216684013199,0.04057833159868006,17982.333333333332,24.633053030172736,27333.333333333332,632.4953654388206,19.0,0.47809144373375734,10.0,0.23904572186687867,10.0,0.23904572186687867,6.133333333333334,0.09085135251589967,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.293668872,1.1149580635765983E-7,14000.0,0.9935241577550413,0.9096723761287533,0.971,0.8537982213797414,0.9985138826385909,0.11234705228031146,0.9662756837528726,0.9603960396039604,0.7106200997861722,14000.0,522720.0,15.0,0.8814253297208497,0.11857467027915014,19352.266666666666,27.293897218917397,28186.133333333335,747.3915392990965,19.533333333333335,0.6005288674451218,10.266666666666667,0.3002644337225609,10.266666666666667,0.3002644337225609,6.3999999999999995,0.16329931618554516,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.358138916,1.2046867714165608E-7,15000.0,0.9985634935836046,0.9409674269899171,0.984,0.91117427607035,0.9935241577550413,0.1013215859030837,0.9911502684384192,1.0,0.8394648829431437,15000.0,537992.0,15.0,0.96433644723449,0.035663552765510004,20709.933333333338,29.601394218558976,29197.333333333332,965.5975434273929,19.93333333333333,0.643403647773506,10.466666666666665,0.321701823886753,10.466666666666665,0.321701823886753,6.6,0.19023794624226834,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.42279705,1.2966724700229659E-7,16000.0,0.9982691524503371,0.9291416485806743,0.974,0.868484946584655,0.9985634935836046,0.10864745011086474,0.9854821998885204,1.0,0.7388575015693657,16000.0,549920.0,15.0,0.9807720235397339,0.01922797646026608,22106.600000000002,25.906020627682413,29986.133333333335,1176.1439410883052,20.46666666666666,0.7920237290015919,10.73333333333333,0.39601186450079595,10.73333333333333,0.39601186450079595,6.800000000000001,0.19999999999999998,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.485386572,1.3862334065608475E-7,17000.0,0.9984975961538461,0.93564156609424,0.981,0.9056678714699924,0.9982691524503371,0.11607142857142858,0.9893405090549678,1.0,0.8096641131408367,17000.0,553120.0,15.0,0.8390999776098256,0.16090002239017454,23488.06666666667,26.771069435682975,30196.8,1178.727979443862,20.86666666666667,0.9251340529204489,10.933333333333335,0.46256702646022446,10.933333333333335,0.46256702646022446,6.800000000000001,0.19999999999999998,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.550704787,1.4823025228550245E-7,18000.0,0.9968651386812821,0.9125744859285523,0.979,0.8972763559521014,0.9984975961538461,0.1210762331838565,0.9760140307093463,0.9722222222222222,0.7905817174515234,18000.0,568528.0,15.0,0.9966239096754469,0.0033760903245530025,24861.06666666667,30.406839247377743,31216.533333333333,1182.3397540336084,21.666666666666668,0.8432740427115678,11.333333333333334,0.4216370213557839,11.333333333333334,0.4216370213557839,7.133333333333333,0.16523191974188067,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.622573532,1.5932625373713053E-7,19000.0,0.996016928055763,0.9254033180859462,0.978,0.8912237330037082,0.9968651386812821,0.11482720178372352,0.9876607725128898,1.0,0.780922431865828,19000.0,596800.0,15.0,0.9050996336170386,0.09490036638296137,26275.266666666663,29.533268837938827,33084.26666666667,1057.8384765831138,23.266666666666666,0.7268108201271966,12.133333333333333,0.3634054100635983,12.133333333333333,0.3634054100635983,7.533333333333333,0.1333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.692780234,1.7084390936749057E-7,20000.0,0.9978394626837631,0.9395202701597909,0.987,0.9281307357201299,0.996016928055763,0.10375275938189846,0.9927996847944883,1.0,0.87012987012987,20000.0,634144.0,15.0,0.7165293307876843,0.2834706692123156,27655.466666666667,30.901204579181837,35552.53333333333,1113.6372918404707,24.866666666666667,0.7675977782708526,12.933333333333334,0.3837988891354263,12.933333333333334,0.3837988891354263,7.933333333333334,0.11818736805705576,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,1.758182591,1.8197527056187807E-7,21000.0,0.9959519866653679,0.913432562583293,0.971,0.860448105943948,0.9978394626837631,0.11482720178372352,0.9837021963725973,1.0,0.7106888361045128,21000.0,657896.0,15.0,0.9611740531402317,0.038825946859768284,29035.466666666667,34.47827012933096,37124.799999999996,962.2867367939369,25.53333333333333,0.6609276789675226,13.266666666666666,0.3304638394837613,13.266666666666666,0.3304638394837613,8.2,0.10690449676496974,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,1.82427751,1.9346498210108738E-7,22000.0,0.9953444444444445,0.9371792436076233,0.983,0.912190082644628,0.9959519866653679,0.1111111111111111,0.9905105305402417,1.0,0.8303854875283445,22000.0,671960.0,15.0,0.9543803690393308,0.045619630960669164,30395.666666666668,33.68872450435246,38053.86666666666,1102.3433993809417,26.333333333333332,0.7725447539304094,13.666666666666666,0.3862723769652047,13.666666666666666,0.3862723769652047,8.533333333333335,0.16523191974188073,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,1.887545845,2.0460906686424178E-7,23000.0,0.9966544566544566,0.9541284335298323,0.986,0.9201277955271564,0.9953444444444445,0.0989010989010989,0.9922778767136676,1.0,0.8596949891067537,23000.0,680864.0,15.0,0.9391729829541478,0.06082701704585231,31788.733333333334,36.24880512535392,38643.200000000004,1236.9870122889035,26.6,0.8552359741197579,13.8,0.42761798705987897,13.8,0.42761798705987897,8.666666666666666,0.1593638145779192,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,1.954933551,2.1673047374802541E-7,24000.0,0.9976052447510996,0.9132497853251411,0.974,0.8606719897111621,0.9966544566544566,0.10253583241455347,0.9760137368040362,0.978494623655914,0.7386934673366833,24000.0,695304.0,15.0,0.9326859706235278,0.06731402937647225,33132.133333333324,35.58663026992339,39597.33333333333,1379.1102537736033,27.400000000000002,0.9797958971132713,14.200000000000001,0.48989794855663565,14.200000000000001,0.48989794855663565,8.866666666666667,0.19189944456771316,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.018982199,2.283982694223958E-7,25000.0,0.9995381970031934,0.9365047201857625,0.991,0.9572405929304446,0.9976052447510996,0.12994350282485875,0.9949022607646323,1.0,0.9101078705553335,25000.0,704176.0,15.0,0.929369574791725,0.07063042520827513,34530.13333333333,39.29629410209968,40185.06666666666,1385.0114370050958,27.533333333333335,0.9454989444564461,14.266666666666667,0.47274947222822306,14.266666666666667,0.47274947222822306,8.933333333333334,0.18170270503179917,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,2.084845567,2.4055232154820737E-7,26000.0,0.9982833448179983,0.9497158555387644,0.987,0.9261665682220909,0.9995381970031934,0.1001100110011001,0.9928235340970648,1.0,0.869699306090979,26000.0,713312.0,15.0,0.9497651651275587,0.05023483487244142,35899.46666666667,37.02288438593068,40788.799999999996,1321.0163590782595,28.066666666666666,0.9333333333333332,14.533333333333333,0.4666666666666666,14.533333333333333,0.4666666666666666,9.133333333333333,0.19189944456771318,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,2.151944704,2.531027244062163E-7,27000.0,0.9988375369874595,0.9312004848401397,0.983,0.9060171159417084,0.9982833448179983,0.10375275938189846,0.9810807175678984,0.9787234042553191,0.8292410714285712,27000.0,723008.0,15.0,0.7873251336825985,0.21267486631740137,37296.2,36.52203509689721,41428.8,1323.498233218818,28.866666666666667,0.9454989444564462,14.933333333333334,0.4727494722282231,14.933333333333334,0.4727494722282231,9.266666666666666,0.18170270503179917,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,2.220201066,2.662079044360812E-7,28000.0,0.998601083567474,0.9394073578952473,0.985,0.9163338613596304,0.9988375369874595,0.10253583241455347,0.9869031276220659,0.989247311827957,0.8489751887810139,28000.0,742168.0,15.0,0.880546530489069,0.11945346951093087,38665.26666666666,33.25406765905497,42696.0,1344.0727871446757,29.533333333333335,0.9251340529204488,15.266666666666667,0.4625670264602244,15.266666666666667,0.4625670264602244,9.466666666666665,0.19189944456771318,0.0,0.0,0.0,0.0,1.0,0.0
