learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.183691092,1.3990187366803488E-10,1000.0,0.9868751275862483,0.8978432395398208,0.966,0.9318760143461099,0.0,1.053388090349076,0.9651329864929357,0.9883040935672515,0.9300411522633745,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.217642937,1.6576010488801534E-10,2000.0,0.9954677099334357,0.9163200279570523,0.978,0.9560126683515148,0.9868751275862483,0.9841269841269841,0.9779310846625167,1.0,0.9545923632610939,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.241274473,1.8375823494460849E-10,3000.0,0.996135860890992,0.9220959541129509,0.979,0.957988909071995,0.9954677099334357,1.012072434607646,0.978698361405277,0.9980119284294234,0.9569965870307167,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.284780006,2.7956005015307E-10,4000.0,0.9833624060150375,0.9133097726396803,0.971,0.9419651791074645,0.996135860890992,0.9047619047619048,0.9717204338202214,0.9894736842105263,0.9401135776974703,4000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
5000.0,0.308770561,3.341761390285359E-10,5000.0,0.99526,0.937452134848957,0.98,0.96,0.9833624060150375,1.0,0.9798693790500854,0.996,0.9592668024439918,5000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.333231145,3.898622800823715E-10,6000.0,0.991317186768513,0.9414508734028874,0.985,0.9700043193780096,0.99526,0.9646365422396856,0.985146916292552,0.9979633401221996,0.9694397283531409,6000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.350999956,4.3031415628062354E-10,7000.0,0.998211420500242,0.9376681429580901,0.983,0.9660097891807159,0.991317186768513,0.9646365422396856,0.9831587759776776,1.0,0.9653767820773931,7000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.367426553,4.677103933278057E-10,8000.0,0.9956034979819335,0.9299891494777778,0.979,0.9579057087876843,0.998211420500242,1.0661157024793388,0.9781716533708494,0.998062015503876,0.9571647118816929,8000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.383673834,5.046984056135018E-10,9000.0,0.9990319845117522,0.9437325221088638,0.987,0.9740018718652257,0.9956034979819335,0.9920318725099602,0.9869830728889826,0.9979919678714859,0.9735413839891451,9000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.412931413,6.112693147030141E-10,10000.0,0.9881588158815882,0.9181924761502542,0.973,0.945976229540998,0.9990319845117522,1.02020202020202,0.9726739481763383,0.9900990099009901,0.945054945054945,10000.0,14080.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
11000.0,0.433180458,6.988560720160603E-10,11000.0,0.9955438432201186,0.9320717179609764,0.977,0.9540161863024215,0.9881588158815882,0.9569471624266145,0.9772319127977314,0.9959100204498977,0.9532088034029961,11000.0,16720.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
12000.0,0.452104117,7.936733578331768E-10,12000.0,0.9938491181265747,0.934165450061486,0.98,0.9599665320207693,0.9955438432201186,0.9267822736030829,0.9802487039426082,0.9875259875259875,0.9592391304347826,12000.0,19368.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
13000.0,0.465511612,8.608518186956644E-10,13000.0,0.9964576705673744,0.932364818365221,0.98,0.9599437610405008,0.9938491181265747,0.8975332068311196,0.9806141123668268,0.9936575052854123,0.9591259235969187,13000.0,19368.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
14000.0,0.479236772,9.306161433872249E-10,14000.0,0.9942351698644605,0.9217569031473224,0.976,0.9519746426112987,0.9964576705673744,1.0242914979757085,0.9756685286444374,0.9920948616600791,0.950905902980713,14000.0,19648.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
15000.0,0.493270102,1.0019468812892834E-9,15000.0,0.9960239363829821,0.9370071580762204,0.982,0.9639953914101005,0.9942351698644605,1.0080321285140563,0.9818428714650771,0.9960159362549801,0.9632002180727818,15000.0,19648.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
16000.0,0.510698104,1.1024353734155495E-9,16000.0,0.9892638282212516,0.9038264717110939,0.971,0.9420097423632829,0.9960239363829821,0.9920318725099602,0.9708218579746125,0.9939759036144579,0.9406345957011258,16000.0,22288.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
17000.0,0.530953483,1.2454267046538491E-9,17000.0,0.979311917247669,0.9088786981591914,0.975,0.9499967997951868,0.9892638282212516,1.0040080160320641,0.9748537333155192,0.9900199600798403,0.9487828392383707,17000.0,27288.0,19.0,10.0,10.0,6.0,0.0,0.0,1.0
18000.0,0.544789001,1.343097507910182E-9,18000.0,0.9838427737507217,0.9354709204360367,0.985,0.9698872578935535,0.979311917247669,1.1008403361344539,0.9841175717148756,1.0,0.9692272623660816,18000.0,27288.0,19.0,10.0,10.0,6.0,0.0,0.0,1.0
19000.0,0.558526865,1.4410740487339597E-9,19000.0,0.9842377302331535,0.9263908828580635,0.977,0.9540143475235726,0.9838427737507217,0.9762845849802372,0.9770452727048771,0.9959514170040485,0.9528434228984568,19000.0,27568.0,19.0,10.0,10.0,6.0,0.0,0.0,1.0
20000.0,0.572566347,1.5412016873040963E-9,20000.0,0.9984687598959399,0.9495151672240896,0.984,0.9679734820431317,0.9842377302331535,0.9120458891013384,0.9845217127285699,0.9979035639412998,0.967159277504105,20000.0,27568.0,19.0,10.0,10.0,6.0,0.0,0.0,1.0
21000.0,0.58649097,1.6405101674153574E-9,21000.0,0.9977796213156354,0.9497683407759997,0.986,0.9714295043427154,0.9984687598959399,1.2935779816513762,0.9838139601860103,1.0,0.9712385051848953,21000.0,27568.0,19.0,10.0,10.0,6.0,0.0,0.0,1.0
22000.0,0.600199596,1.7382781868779827E-9,22000.0,0.9987719950879803,0.9478039664904844,0.983,0.9660013599456021,0.9977796213156354,0.9960079840319361,0.9829607646531267,0.9939879759519038,0.9651217010165065,22000.0,27568.0,19.0,10.0,10.0,6.0,0.0,0.0,1.0
23000.0,0.618566285,1.8970915066512925E-9,23000.0,0.9841551199932703,0.9219404178346202,0.974,0.9478692560942844,0.9987719950879803,1.079002079002079,0.9733139056340727,0.9884393063583815,0.9466309683177152,23000.0,33424.0,23.0,12.0,12.0,8.0,0.0,0.0,1.0
