learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.191633466,1.4595090409119925E-10,1000.0,0.6878389557863774,0.2246988371325094,0.989,0.3478776381313722,0.0,0.011122345803842264,0.521440304165279,0.2727272727272727,0.0,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.222940178,1.6979456259144678E-10,2000.0,0.9945175438596491,0.32232869831263616,0.987,0.22985781990521792,0.6878389557863774,0.012145748987854251,0.4076280090869281,0.16666666666666666,-0.13043478260870112,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.245376913,1.8688271439737744E-10,3000.0,0.9897970624509475,0.38595090216717365,0.994,0.5686556434220009,0.9945175438596491,0.009081735620585268,0.6663302211914581,0.4444444444444444,0.43750000000000194,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.278952662,2.35385730833643E-10,4000.0,0.7951098446548396,0.21768498438509387,0.99,0.28233098894790243,0.9897970624509475,0.011122345803842264,0.42618580618278695,0.18181818181818182,0.06976744186046752,4000.0,5584.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.301520198,2.6798645016633804E-10,5000.0,0.9953636627064619,0.37319150156037606,0.989,0.41675503711558765,0.7951098446548396,0.014198782961460446,0.5342513590375223,0.2857142857142857,0.03508771929824186,5000.0,5584.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
6000.0,0.318883525,2.9306924831536083E-10,6000.0,0.9963000336360579,0.4649304638153622,0.995,0.664249261348375,0.9953636627064619,0.009081735620585268,0.7449798350232857,0.5555555555555556,0.5454545454545454,6000.0,5584.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
7000.0,0.334948619,3.1627663881414466E-10,7000.0,0.9981297655013667,0.4651292749671944,0.995,0.5431286549707579,0.9963000336360579,0.007049345417925478,0.6543239534013873,0.42857142857142855,0.5205479452054802,7000.0,5584.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
8000.0,0.358994861,3.6743633355531426E-10,8000.0,0.8052078837577327,0.1833414035634437,0.994,0.24868519909842615,0.9981297655013667,0.007049345417925478,0.3779644730092272,0.14285714285714285,0.4,8000.0,8224.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.374569181,4.0057155098352165E-10,9000.0,0.9435175879396985,0.07696622658978378,0.994,-0.0016694490818139588,0.8052078837577327,0.005025125628140704,0.0,0.0,0.3647058823529428,9000.0,8224.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.389970502,4.3448619141346876E-10,10000.0,0.8591919191919192,0.21232747290599385,0.991,0.18032786885246582,0.9435175879396985,0.010101010101010102,0.31622776601683794,0.1,0.05263157894736289,10000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
11000.0,0.411859962,4.992688402781884E-10,11000.0,0.8680025737659711,0.32982603521103826,0.991,0.3964592274678076,0.8591919191919192,0.011122345803842264,0.5219688803822581,0.2727272727272727,0.06603773584905856,11000.0,11440.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
12000.0,0.426855489,5.43648644996186E-10,12000.0,0.9950505050505051,0.4606622854377069,0.994,0.5689655172413768,0.8680025737659711,0.010101010101010102,0.6324555320336759,0.4,0.3793103448275886,12000.0,11440.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
13000.0,0.441869339,5.880826772956384E-10,13000.0,0.9091717479674797,0.2727295257146428,0.987,0.31231485399915015,0.9950505050505051,0.016260162601626018,0.4330127018922193,0.1875,-0.28030303030302817,13000.0,11440.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
14000.0,0.456288925,6.307579637856947E-10,14000.0,0.9979859013091642,0.39774763083414066,0.995,0.44271065537227444,0.9091717479674797,0.007049345417925478,0.5345224838248488,0.2857142857142857,0.4964028776978397,14000.0,11440.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
15000.0,0.470617641,6.731643172229329E-10,15000.0,0.9973091153716784,0.4124401489111863,0.993,0.529948965887725,0.9979859013091642,0.009081735620585268,0.6659936057513395,0.4444444444444444,0.2905405405405416,15000.0,11440.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
16000.0,0.484185871,7.133199848276045E-10,16000.0,0.9967369477911646,0.32908623804738885,0.995,0.2832568807339425,0.9973091153716784,0.004016064257028112,0.499497739702465,0.25,0.4736842105263127,16000.0,11440.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
17000.0,0.498112797,7.545372262224555E-10,17000.0,0.9986545576858392,0.33253450126857725,0.992,0.19855740332598087,0.9967369477911646,0.009081735620585268,0.3333333333333333,0.1111111111111111,0.15527950310558947,17000.0,11440.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
18000.0,0.517146292,8.22488133230557E-10,18000.0,0.9971859296482412,0.37047348809603553,0.996,0.498117942283565,0.9986545576858392,0.005025125628140704,0.6321376352897752,0.4,0.5662650602409645,18000.0,13800.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
19000.0,0.530136716,8.688648545431594E-10,19000.0,0.9980440452042886,0.30970785072413687,0.988,0.2473657802308052,0.9971859296482412,0.014198782961460446,0.3779644730092272,0.14285714285714285,-0.26666666666666977,19000.0,13800.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
20000.0,0.543198029,9.154946545387308E-10,20000.0,0.9876667787868595,0.26855076428520025,0.993,0.36154688070047863,0.9980440452042886,0.009081735620585268,0.4714045207910317,0.2222222222222222,0.25925925925925536,20000.0,13800.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
21000.0,0.56048714,9.890617126350602E-10,21000.0,0.8815151515151515,0.07092554658293983,0.988,-0.0033444816053545237,0.9876667787868595,0.010101010101010102,0.0,0.0,-0.2663316582914516,21000.0,16448.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
22000.0,0.572849522,1.042560484011968E-9,22000.0,0.9317814613129076,0.11403651993342435,0.984,0.10942892129577649,0.8815151515151515,0.017293997965412006,0.24253562503633297,0.058823529411764705,-0.629629629629628,22000.0,16728.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
