learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.194883535,1.4842620508538352E-10,1000.0,0.9868751275862483,0.8978432395398208,0.966,0.9318760143461099,0.0,1.053388090349076,0.9651329864929357,0.9883040935672515,0.9300411522633745,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.229571926,1.7484540071752335E-10,2000.0,0.9954677099334357,0.9163200279570523,0.978,0.9560126683515148,0.9868751275862483,0.9841269841269841,0.9779310846625167,1.0,0.9545923632610939,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.252876932,1.9259484065903556E-10,3000.0,0.996135860890992,0.9220959541129509,0.979,0.957988909071995,0.9954677099334357,1.012072434607646,0.978698361405277,0.9980119284294234,0.9569965870307167,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.29668571,2.8906441970003973E-10,4000.0,0.9833624060150375,0.9133097726396803,0.971,0.9419651791074645,0.996135860890992,0.9047619047619048,0.9717204338202214,0.9894736842105263,0.9401135776974703,4000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
5000.0,0.320987527,3.4438911715315447E-10,5000.0,0.99526,0.937452134848957,0.98,0.96,0.9833624060150375,1.0,0.9798693790500854,0.996,0.9592668024439918,5000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.34240497,3.9314734598000843E-10,6000.0,0.991317186768513,0.9414508734028874,0.985,0.9700043193780096,0.99526,0.9646365422396856,0.985146916292552,0.9979633401221996,0.9694397283531409,6000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.360342782,4.33983964158429E-10,7000.0,0.998211420500242,0.9376681429580901,0.983,0.9660097891807159,0.991317186768513,0.9646365422396856,0.9831587759776776,1.0,0.9653767820773931,7000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.376554902,4.708919300966792E-10,8000.0,0.9956034979819335,0.9299891494777778,0.979,0.9579057087876843,0.998211420500242,1.0661157024793388,0.9781716533708494,0.998062015503876,0.9571647118816929,8000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.392734029,5.077247852832079E-10,9000.0,0.9990319845117522,0.9437325221088638,0.987,0.9740018718652257,0.9956034979819335,0.9920318725099602,0.9869830728889826,0.9979919678714859,0.9735413839891451,9000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.421739177,6.133762129230632E-10,10000.0,0.9881588158815882,0.9181924761502542,0.973,0.945976229540998,0.9990319845117522,1.02020202020202,0.9726739481763383,0.9900990099009901,0.945054945054945,10000.0,14080.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
11000.0,0.443393586,7.070418384298683E-10,11000.0,0.9955438432201186,0.9320717179609764,0.977,0.9540161863024215,0.9881588158815882,0.9569471624266145,0.9772319127977314,0.9959100204498977,0.9532088034029961,11000.0,16720.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
12000.0,0.462839182,8.044742976501585E-10,12000.0,0.9938491181265747,0.934165450061486,0.98,0.9599665320207693,0.9955438432201186,0.9267822736030829,0.9802487039426082,0.9875259875259875,0.9592391304347826,12000.0,19368.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
13000.0,0.477151558,8.761866787448526E-10,13000.0,0.9964576705673744,0.932364818365221,0.98,0.9599437610405008,0.9938491181265747,0.8975332068311196,0.9806141123668268,0.9936575052854123,0.9591259235969187,13000.0,19368.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
14000.0,0.490990563,9.465296720671986E-10,14000.0,0.9942351698644605,0.9217569031473224,0.976,0.9519746426112987,0.9964576705673744,1.0242914979757085,0.9756685286444374,0.9920948616600791,0.950905902980713,14000.0,19648.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
15000.0,0.505695693,1.021275136888855E-9,15000.0,0.9960239363829821,0.9370071580762204,0.982,0.9639953914101005,0.9942351698644605,1.0080321285140563,0.9818428714650771,0.9960159362549801,0.9632002180727818,15000.0,19648.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
16000.0,0.523958141,1.1265749791802632E-9,16000.0,0.9892638282212516,0.9038264717110939,0.971,0.9420097423632829,0.9960239363829821,0.9920318725099602,0.9708218579746125,0.9939759036144579,0.9406345957011258,16000.0,22288.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
17000.0,0.545122943,1.2759863139854538E-9,17000.0,0.979311917247669,0.9088786981591914,0.975,0.9499967997951868,0.9892638282212516,1.0040080160320641,0.9748537333155192,0.9900199600798403,0.9487828392383707,17000.0,27288.0,19.0,10.0,10.0,6.0,0.0,0.0,1.0
18000.0,0.559408009,1.3768306676836478E-9,18000.0,0.9838427737507217,0.9354709204360367,0.985,0.9698872578935535,0.979311917247669,1.1008403361344539,0.9841175717148756,1.0,0.9692272623660816,18000.0,27288.0,19.0,10.0,10.0,6.0,0.0,0.0,1.0
19000.0,0.573671792,1.4785579898787869E-9,19000.0,0.9842377302331535,0.9263908828580635,0.977,0.9540143475235726,0.9838427737507217,0.9762845849802372,0.9770452727048771,0.9959514170040485,0.9528434228984568,19000.0,27568.0,19.0,10.0,10.0,6.0,0.0,0.0,1.0
20000.0,0.588082998,1.5813367124646902E-9,20000.0,0.9984687598959399,0.9495151672240896,0.984,0.9679734820431317,0.9842377302331535,0.9120458891013384,0.9845217127285699,0.9979035639412998,0.967159277504105,20000.0,27568.0,19.0,10.0,10.0,6.0,0.0,0.0,1.0
21000.0,0.602565914,1.6846268608255518E-9,21000.0,0.9977796213156354,0.9497683407759997,0.986,0.9714295043427154,0.9984687598959399,1.2935779816513762,0.9838139601860103,1.0,0.9712385051848953,21000.0,27568.0,19.0,10.0,10.0,6.0,0.0,0.0,1.0
22000.0,0.616896185,1.786828366215858E-9,22000.0,0.9987719950879803,0.9478039664904844,0.983,0.9660013599456021,0.9977796213156354,0.9960079840319361,0.9829607646531267,0.9939879759519038,0.9651217010165065,22000.0,27568.0,19.0,10.0,10.0,6.0,0.0,0.0,1.0
23000.0,0.63585427,1.950755376434988E-9,23000.0,0.9841551199932703,0.9219404178346202,0.974,0.9478692560942844,0.9987719950879803,1.079002079002079,0.9733139056340727,0.9884393063583815,0.9466309683177152,23000.0,33424.0,23.0,12.0,12.0,8.0,0.0,0.0,1.0
24000.0,0.650224842,2.0750150209665294E-9,24000.0,0.9846900806606491,0.93628792082284,0.98,0.9599769467213114,0.9841551199932703,1.032520325203252,0.9797804612547536,0.9901574803149606,0.9589533093894305,24000.0,33424.0,23.0,12.0,12.0,8.0,0.0,0.0,1.0
25000.0,0.66434666,2.197123736250731E-9,25000.0,0.9959418546365915,0.9539387499962851,0.989,0.97794265089232,0.9846900806606491,1.105263157894737,0.9889210849611316,0.9904761904761905,0.9773904464359122,25000.0,33424.0,23.0,12.0,12.0,8.0,0.0,0.0,1.0
26000.0,0.678310524,2.3178666528811054E-9,26000.0,0.9917428109647789,0.9528319454818285,0.987,0.9739881385911976,0.9959418546365915,1.0242914979757085,0.9867543820659302,1.0,0.9732954096547365,26000.0,33424.0,23.0,12.0,12.0,8.0,0.0,0.0,1.0
27000.0,0.692126424,2.4373301525165634E-9,27000.0,0.9851850962788706,0.948066711759478,0.986,0.9719835263134723,0.9917428109647789,1.028397565922921,0.9856989571248815,1.0,0.9712700463631526,27000.0,33424.0,23.0,12.0,12.0,8.0,0.0,0.0,1.0
28000.0,0.705968953,2.5570239081275127E-9,28000.0,0.9907634088581669,0.9530722044075801,0.988,0.975995391115094,0.9851850962788706,1.0161290322580645,0.9879020502203106,0.996031746031746,0.9753900241705119,28000.0,33424.0,23.0,12.0,12.0,8.0,0.0,0.0,1.0
29000.0,0.720011037,2.6784431784475836E-9,29000.0,0.9821937435963115,0.9436441164577121,0.983,0.9659558788189493,0.9907634088581669,1.0491803278688525,0.9825090465941493,0.998046875,0.9651343705799151,29000.0,33424.0,23.0,12.0,12.0,8.0,0.0,0.0,1.0
30000.0,0.736671008,2.83511835043215E-9,30000.0,0.9882639530558123,0.9396821023329807,0.981,0.9619984799391975,0.9821937435963115,1.0040080160320641,0.9809402881803744,0.9900199600798403,0.961038961038961,30000.0,36352.0,25.0,13.0,13.0,9.0,0.0,0.0,1.0
31000.0,0.753018568,3.000392573537925E-9,31000.0,0.984018401840184,0.9423891087429486,0.979,0.9580083983203359,0.9882639530558123,0.9801980198019802,0.9790361848190895,0.9939393939393939,0.9569444444444444,31000.0,39080.0,27.0,14.0,14.0,10.0,0.0,0.0,1.0
32000.0,0.767088932,3.143372293193306E-9,32000.0,0.9931393014853472,0.9534651200369388,0.985,0.9699386748967894,0.984018401840184,0.8867924528301887,0.9856538177343461,0.997872340425532,0.9692110327132777,32000.0,39280.0,27.0,14.0,14.0,10.0,0.0,0.0,1.0
33000.0,0.781088468,3.2856322754215853E-9,33000.0,0.9884383351202574,0.9449399962662955,0.984,0.9680046073365434,0.9931393014853472,0.9762845849802372,0.9840708556525023,0.9959514170040485,0.9671723451877642,33000.0,39280.0,27.0,14.0,14.0,10.0,0.0,0.0,1.0
34000.0,0.795067168,3.427680527133245E-9,34000.0,0.9913621794871795,0.9620038432025807,0.989,0.9779770961800273,0.9884383351202574,0.9230769230769231,0.9892410001664187,0.9958333333333333,0.9774195495985026,34000.0,39280.0,27.0,14.0,14.0,10.0,0.0,0.0,1.0
35000.0,0.809142224,3.5707079257857456E-9,35000.0,0.9949939975990396,0.9637831194785275,0.993,0.985990473521995,0.9913621794871795,1.0408163265306123,0.992831448793946,1.0,0.9856607749034297,35000.0,39280.0,27.0,14.0,14.0,10.0,0.0,0.0,1.0
36000.0,0.823006699,3.7115954499940063E-9,36000.0,0.9874557426424646,0.9454720030356198,0.982,0.9639896290131558,0.9949939975990396,0.9305019305019305,0.9823903285465905,0.995850622406639,0.9631336405529953,36000.0,39280.0,27.0,14.0,14.0,10.0,0.0,0.0,1.0
37000.0,0.83684265,3.85219312004331E-9,37000.0,0.9945973851344051,0.9533502603588992,0.986,0.9719963035120636,0.9874557426424646,0.9569471624266145,0.9861392780977191,0.9938650306748467,0.9713273552529613,37000.0,39280.0,27.0,14.0,14.0,10.0,0.0,0.0,1.0
38000.0,0.852552576,4.012906622596912E-9,38000.0,0.9925724050440413,0.9506786928508331,0.985,0.9699973597676596,0.9945973851344051,0.9569471624266145,0.9851526452562955,0.9938650306748467,0.9692772058427208,38000.0,39544.0,29.0,15.0,15.0,11.0,0.0,0.0,1.0
39000.0,0.869988159,4.215594844956778E-9,39000.0,0.99586,0.9626530415662183,0.989,0.978,0.9925724050440413,1.0,0.9889954499389773,0.986,0.9774661203907974,39000.0,44936.0,31.0,16.0,16.0,12.0,0.0,0.0,1.0
40000.0,0.886444459,4.419364173857287E-9,40000.0,0.9928016600994768,0.9602292018360404,0.988,0.9757579675479991,0.99586,1.2123893805309736,0.987487116626602,0.9927007299270073,0.9753745126205623,40000.0,47864.0,33.0,17.0,17.0,12.0,0.0,0.0,1.0
41000.0,0.900938023,4.598830020351127E-9,41000.0,0.9947399193467649,0.9646762133883441,0.99,0.9799659421015726,0.9928016600994768,1.0703933747412009,0.9896808906484472,0.9980657640232108,0.9794743429286608,41000.0,47864.0,33.0,17.0,17.0,12.0,0.0,0.0,1.0
42000.0,0.915088561,4.774780515057758E-9,42000.0,0.9909288882483868,0.9640397435743502,0.989,0.9779765670673597,0.9947399193467649,1.0576131687242798,0.9888369906601252,0.9941634241245136,0.9774204584331166,42000.0,48064.0,33.0,17.0,17.0,12.0,0.0,0.0,1.0
43000.0,0.929107122,4.9490899825158204E-9,43000.0,0.9927852785278528,0.9545135586788758,0.986,0.9719994399887998,0.9909288882483868,0.9801980198019802,0.9860310470378569,0.98989898989899,0.9712813662818434,43000.0,48064.0,33.0,17.0,17.0,12.0,0.0,0.0,1.0
44000.0,0.943259791,5.125066974483843E-9,44000.0,0.9940050984676584,0.9677764011923476,0.992,0.9839950704817083,0.9927852785278528,0.9569471624266145,0.9920767917447659,0.9959100204498977,0.9835950971710864,44000.0,48064.0,33.0,17.0,17.0,12.0,0.0,0.0,1.0
45000.0,0.957343556,5.300187200943214E-9,45000.0,0.9958999835999344,0.9630211196628495,0.987,0.9739993759850236,0.9940050984676584,1.0040080160320641,0.9869771509490916,0.9920159680638723,0.9733533752391363,45000.0,48064.0,33.0,17.0,17.0,12.0,0.0,0.0,1.0
46000.0,0.975853383,5.555510313274958E-9,46000.0,0.9907932692307693,0.9621420873644314,0.988,0.9759538313562038,0.9958999835999344,1.0833333333333333,0.9878103212506086,0.9923076923076923,0.9753780275659039,46000.0,53320.0,37.0,19.0,19.0,14.0,0.0,0.0,1.0
