learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.197622615,1.5051232924064E-10,1000.0,0.9392569101871427,0.3648904542088639,0.961,0.4766224703419405,0.0,0.05708245243128964,0.5919156242050547,0.35185185185185186,0.2777777777777778,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.228709263,1.7418838371833166E-10,2000.0,0.9910735259572468,0.5032104444987633,0.972,0.674842066146414,0.9392569101871427,0.05708245243128964,0.7556717911392332,0.5740740740740741,0.48148148148148145,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.251504477,1.915495584739579E-10,3000.0,0.9773135808591087,0.4371131630558075,0.957,0.49485456510502335,0.9910735259572468,0.05374077976817703,0.666222294512492,0.45098039215686275,0.18867924528301888,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.286173212,2.4163148586534794E-10,4000.0,0.9369097298484516,0.34038864240873995,0.952,0.4199535962877036,0.9773135808591087,0.06157112526539278,0.569610746362867,0.3275862068965517,0.11520737327188894,4000.0,5584.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.305870881,2.7008643897043337E-10,5000.0,0.9784919794188862,0.4233623947743146,0.951,0.4485459620059427,0.9369097298484516,0.059322033898305086,0.6217834908093808,0.39285714285714285,0.10256410256410146,5000.0,5584.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
6000.0,0.333070554,3.279552305986484E-10,6000.0,0.9410195553391756,0.38176389172594516,0.96,0.44221329763498385,0.9784919794188862,0.05485232067510549,0.5702620442316008,0.3269230769230769,0.2615384615384613,6000.0,8224.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.354619172,3.7380109370582636E-10,7000.0,0.9841437632135307,0.4766230486397756,0.963,0.6069683450180579,0.9410195553391756,0.05708245243128964,0.7520493755417139,0.5740740740740741,0.31662269129287557,7000.0,8224.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.371275753,4.0923888059126007E-10,8000.0,0.985182076446281,0.4570121166497338,0.978,0.596063454759107,0.9841437632135307,0.03305785123966942,0.7262288317849288,0.53125,0.5717761557177607,8000.0,8224.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.386620236,4.4188510723412035E-10,9000.0,0.983342448272719,0.461617479756763,0.961,0.4985857546927231,0.985182076446281,0.04821802935010482,0.6706878996090355,0.45652173913043476,0.23194748358862124,9000.0,8224.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.401288925,4.730935451885064E-10,10000.0,0.988284881919048,0.5182426618951188,0.968,0.6200698121720136,0.983342448272719,0.05374077976817703,0.737436701484302,0.5490196078431373,0.3700787401574792,10000.0,8224.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
