learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.188121502,1.4327613996134863E-10,1000.0,0.9438299486668801,0.530539558455747,0.946,0.667057155188359,0.0,0.10253583241455347,0.8060776124147787,0.6666666666666666,0.4193548387096767,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.236630803,1.8022154665655559E-10,2000.0,0.9888300808520311,0.6104491983501767,0.958,0.7536512405419671,0.9438299486668801,0.11482720178372352,0.8362155350625671,0.7087378640776699,0.571428571428571,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.270800853,2.0624596605698266E-10,3000.0,0.9777919659483906,0.5713474524908282,0.941,0.6619298647719454,0.9888300808520311,0.11731843575418995,0.7893815117268278,0.638095238095238,0.4119601328903652,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.315455846,2.7408094614330265E-10,4000.0,0.9293261562998405,0.5368028225860849,0.949,0.6557589502672926,0.9777919659483906,0.09649122807017543,0.7827288634541405,0.625,0.47557840616966507,4000.0,5872.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.338748791,3.094650399270985E-10,5000.0,0.9795578985474456,0.5908800132341776,0.949,0.6992144188350747,0.9293261562998405,0.10864745011086474,0.8232393175075042,0.6938775510204082,0.4763860369609854,5000.0,5872.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
6000.0,0.356341688,3.3619024437748725E-10,6000.0,0.985101135798,0.5855251549312909,0.955,0.7320599233095954,0.9795578985474456,0.10864745011086474,0.837152057082359,0.7142857142857143,0.5384615384615382,6000.0,5872.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
7000.0,0.381411385,3.913952335756686E-10,7000.0,0.9632955526407246,0.6187043118222684,0.956,0.7533604636823281,0.985101135798,0.10987791342952276,0.8710835398980497,0.7777777777777778,0.549707602339181,7000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.403321105,4.5460544129626615E-10,8000.0,0.9668209630220803,0.6192760514535133,0.955,0.7444633730834751,0.9632955526407246,0.11731843575418995,0.8380420307664795,0.7142857142857143,0.5437262357414443,8000.0,11152.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
9000.0,0.418828684,4.993452777630753E-10,9000.0,0.9805869245005099,0.5562956252668166,0.949,0.6632062762500988,0.9668209630220803,0.09529025191675794,0.8000642040935864,0.6551724137931034,0.47602739726027377,9000.0,11152.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
10000.0,0.434147797,5.435413840951191E-10,10000.0,0.9868743615934628,0.6167308081496574,0.954,0.761262196387793,0.9805869245005099,0.12359550561797752,0.8686163606693532,0.7727272727272727,0.5334685598377279,10000.0,11152.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
11000.0,0.448659258,5.854073898742597E-10,11000.0,0.9842413683877098,0.5590769738679953,0.952,0.7071885217900536,0.9868743615934628,0.10864745011086474,0.813340731700868,0.673469387755102,0.5129151291512908,11000.0,11152.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
12000.0,0.462368537,6.249590762166514E-10,12000.0,0.9884837267699235,0.629205364905169,0.96,0.7758224513814937,0.9842413683877098,0.11482720178372352,0.8679339289478705,0.7669902912621359,0.5956192080876154,12000.0,11152.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
13000.0,0.482150263,6.955402797998654E-10,13000.0,0.9801028243306403,0.6410216615183596,0.952,0.7677007210956781,0.9884837267699235,0.13507377979568672,0.8729243763222736,0.7815126050420168,0.5222052067381314,13000.0,13792.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
14000.0,0.501607582,7.782527621007629E-10,14000.0,0.9761459890383657,0.6317421703536112,0.948,0.7386199131413863,0.9801028243306403,0.1210762331838565,0.8772200583239037,0.7962962962962963,0.4851485148514846,14000.0,16432.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
15000.0,0.516035623,8.395859337391125E-10,15000.0,0.9953408969662482,0.7090094176113366,0.976,0.8679330420523205,0.9761459890383657,0.10253583241455347,0.9674125017715522,0.956989247311828,0.7611147976111479,15000.0,16432.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
16000.0,0.529358854,8.962225910441744E-10,16000.0,0.9862899875363523,0.6688411330516214,0.961,0.7722654333963979,0.9953408969662482,0.09529025191675794,0.9146448166846759,0.8620689655172413,0.6085319949811789,16000.0,16432.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
17000.0,0.542852615,9.535841662892038E-10,17000.0,0.9901940449852508,0.6655499205345604,0.964,0.8018144983704746,0.9862899875363523,0.10619469026548672,0.9179249375645864,0.8645833333333334,0.6378698224852066,17000.0,16432.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
18000.0,0.555893048,1.0090186577373082E-9,18000.0,0.9889409480393399,0.6597727255323321,0.964,0.8161689611503736,0.9901940449852508,0.1185682326621924,0.9200903252270056,0.8679245283018868,0.6391982182628058,18000.0,16432.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
19000.0,0.569225283,1.0656935907776159E-9,19000.0,0.9891624106230847,0.6780060121764538,0.962,0.8241392077008515,0.9889409480393399,0.12359550561797752,0.9547044957248831,0.9454545454545454,0.6211962224554037,19000.0,16432.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
20000.0,0.582722153,1.123068382288847E-9,20000.0,0.9950439982819194,0.7092433185610958,0.983,0.9099480877211569,0.9891624106230847,0.11234705228031146,0.972886540895794,0.9603960396039604,0.8305929247633282,20000.0,16432.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
21000.0,0.599615649,1.2064548414904212E-9,21000.0,0.9832890704800817,0.6655913216346605,0.963,0.8175722315353513,0.9950439982819194,0.12359550561797752,0.9220486139993601,0.8727272727272727,0.6329711856400563,21000.0,19080.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
22000.0,0.612860822,1.2718331431742345E-9,22000.0,0.9930078795443907,0.6892095606473607,0.976,0.8872010828696044,0.9832890704800817,0.13122171945701358,0.9599921252992677,0.9396551724137931,0.7635467980295565,22000.0,19080.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
23000.0,0.626305996,1.33819865172315E-9,23000.0,0.9934603886397608,0.6780133193752672,0.974,0.8693099565706931,0.9930078795443907,0.1210762331838565,0.9482597545150194,0.9166666666666666,0.7445536095685601,23000.0,19080.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
24000.0,0.639206776,1.4018770262371336E-9,24000.0,0.9923142514749262,0.6790792765733529,0.974,0.8593682388576372,0.9934603886397608,0.10619469026548672,0.9574752474907756,0.9375,0.7439474764054163,24000.0,19080.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
25000.0,0.652170932,1.4658682252984082E-9,25000.0,0.9933453721902405,0.7016422373289872,0.97,0.8580204261280275,0.9923142514749262,0.1273957158962796,0.9519226742982764,0.9292035398230089,0.7058823529411762,25000.0,19080.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
26000.0,0.665386057,1.5310982097643947E-9,26000.0,0.9921860110539356,0.6791305219797155,0.972,0.8458200720240518,0.9933453721902405,0.10987791342952276,0.9290760586043421,0.8787878787878788,0.7251793129482821,26000.0,19080.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
27000.0,0.678422364,1.5954455468575989E-9,27000.0,0.990443082137161,0.7021820938450982,0.969,0.8303786386517835,0.9921860110539356,0.09649122807017543,0.9727266671881732,0.9772727272727273,0.694190719766167,27000.0,19080.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
28000.0,0.691388641,1.660413278113637E-9,28000.0,0.9864833333333334,0.6668078605889011,0.966,0.8191489361702126,0.990443082137161,0.1111111111111111,0.9265467548315567,0.88,0.6644342615438841,28000.0,19368.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
29000.0,0.704255643,1.724883590448234E-9,29000.0,0.9887106357694593,0.6909883548851344,0.967,0.8281536410598231,0.9864833333333334,0.10987791342952276,0.9453502784466026,0.9191919191919192,0.6740463215258853,29000.0,19368.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
30000.0,0.717535538,1.791422709539119E-9,30000.0,0.9898933463698856,0.6784739740114867,0.966,0.8402600941525797,0.9887106357694593,0.1273957158962796,0.9457345842687749,0.9203539823008849,0.6654640865857656,30000.0,19368.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
31000.0,0.730698808,1.8573774772654807E-9,31000.0,0.9920872438230224,0.676414586747341,0.968,0.8173849525200876,0.9898933463698856,0.1013215859030837,0.9274008325186537,0.8804347826086957,0.6841770136899075,31000.0,19368.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
32000.0,0.743416741,1.9211008770722485E-9,32000.0,0.9934203506775261,0.678351468942363,0.976,0.86302464414944,0.9920872438230224,0.10253583241455347,0.9475523151666052,0.9139784946236559,0.7625231910946196,32000.0,19368.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
33000.0,0.756617159,1.9872417754266E-9,33000.0,0.9829843941012566,0.664968711008284,0.965,0.8191849892544222,0.9934203506775261,0.11234705228031146,0.9359138619502949,0.900990099009901,0.6536731634182906,33000.0,19368.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
34000.0,0.769750651,2.053047340023849E-9,34000.0,0.9909295199182839,0.6857566386344128,0.971,0.8602409638554215,0.9829843941012566,0.12359550561797752,0.9556241776702314,0.9363636363636364,0.7137880986937588,34000.0,19368.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
35000.0,0.786048597,2.1458394566385284E-9,35000.0,0.9859954498626373,0.6864045568349333,0.972,0.8615287228991928,0.9909295199182839,0.11607142857142858,0.967358758182799,0.9615384615384616,0.7238658777120315,35000.0,22008.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
36000.0,0.798610548,2.2173607404923274E-9,36000.0,0.9799437213421676,0.6599077496500533,0.951,0.758929449965561,0.9859954498626373,0.10987791342952276,0.9320577837446166,0.9090909090909091,0.5164473684210524,36000.0,22008.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
